day,hr_min,hr_max,rhr,stress_avg,step_goal,steps,moderate_activity_time,vigorous_activity_time,intensity_time_goal,floors_up,floors_down,floors_goal,distance,calories_goal,calories_total,calories_bmr,calories_active,calories_consumed,hydration_goal,hydration_intake,sweat_loss,spo2_avg,spo2_min,rr_waking_avg,rr_max,rr_min,bb_charged,bb_max,bb_min,description
2019-12-31,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-01-01,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-01-02,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-01-03,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-01-04,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-01-05,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-01-06,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-01-07,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-01-08,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-01-09,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-01-10,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-01-11,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-01-12,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-01-13,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-01-14,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-01-15,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-01-16,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-01-17,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-01-18,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-01-19,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-01-20,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-01-21,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-01-22,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-01-23,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-01-24,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-01-25,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-01-26,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-01-27,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-01-28,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-01-29,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-01-30,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-01-31,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-02-01,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-02-02,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-02-03,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-02-04,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-02-05,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-02-06,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-02-07,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-02-08,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-02-09,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-02-10,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-02-11,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-02-12,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-02-13,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-02-14,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-02-15,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-02-16,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-02-17,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-02-18,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-02-19,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-02-20,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-02-21,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
