day,hr_avg,hr_min,hr_max,rhr_avg,rhr_min,rhr_max,inactive_hr_avg,inactive_hr_min,inactive_hr_max,weight_avg,weight_min,weight_max,intensity_time,moderate_activity_time,vigorous_activity_time,intensity_time_goal,steps,steps_goal,floors,floors_goal,sleep_avg,sleep_min,sleep_max,rem_sleep_avg,rem_sleep_min,rem_sleep_max,stress_avg,calories_avg,calories_bmr_avg,calories_active_avg,calories_goal,calories_consumed_avg,activities,activities_calories,activities_distance,hydration_goal,hydration_avg,hydration_intake,sweat_loss_avg,sweat_loss,spo2_avg,spo2_min,rr_waking_avg,rr_max,rr_min,bb_max,bb_min
2022-01-08,88.0421052631579,66.0,128.0,60.0,60.0,60.0,85.8,81.0,89.0,72.2,72.2,72.2,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,6449.0,10000,18.07808,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,70.0,1915,1667,248,,,1.0,1.0,0.0,2800,,,,,,,,,,,
2022-01-09,87.48998178506375,55.0,144.0,65.0,65.0,65.0,85.81818181818181,63.0,110.0,,,,01:28:00.000000,00:30:00.000000,00:29:00.000000,00:21:25,8910.0,10000,33.76804,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,63.0,3085,2023,1062,,,,,,2800,,,,,,,,,,,
2022-01-10,87.4993564993565,55.0,174.0,66.0,66.0,66.0,78.61111111111111,55.0,112.0,,,,00:43:00.000000,00:13:00.000000,00:15:00.000000,00:21:25,9354.0,10000,6.55938,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,57.0,2984,2023,961,,,,,,2800,,,,,,,,,,,
2022-01-11,83.64385692068429,58.0,139.0,66.0,66.0,66.0,92.76923076923077,63.0,135.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,7553.0,10000,11.73425,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,43.0,2567,2023,544,,,,,,2800,,,,,,,,,,,
2022-01-12,87.34193548387097,60.0,141.0,68.0,68.0,68.0,80.71428571428571,65.0,107.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,7867.0,10000,19.34744,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,51.0,2718,2023,695,,,,,,2800,,,,,,,,,,,
2022-01-13,88.94026974951831,64.0,139.0,72.0,72.0,72.0,92.2,66.0,123.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,5618.0,10000,14.06988,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,56.0,2295,1788,507,,,,,,2800,,,,,,,,,,,
2022-01-14,84.70309278350516,49.0,129.0,63.0,63.0,63.0,78.66666666666667,56.0,97.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,8650.0,10000,7.37467,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,48.0,2288,1802,486,,,,,,2800,,,,,,,,,,,
2022-02-12,91.48,62.0,135.0,72.0,72.0,72.0,101.8,84.0,115.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,2855.0,10000,10.30807,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,67.0,2298,2023,275,,,,,,2800,,,,,,,,,,,
2022-02-13,85.84902309058614,58.0,139.0,66.0,66.0,66.0,79.55555555555556,60.0,110.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,4501.0,10000,13.71982,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,49.0,2447,2023,424,,,,,,2800,,,,,,,,,,,
2022-02-14,86.02171428571428,51.0,146.0,72.0,72.0,72.0,84.5,69.0,122.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,8157.0,10000,4.69488,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,47.0,2753,2023,730,,,,,,2800,,,,,,,,,,,
2022-02-15,91.33252427184466,59.0,172.0,69.0,69.0,69.0,85.76190476190476,73.0,114.0,,,,00:35:00.000000,00:35:00.000000,00:00:00.000000,00:21:25,10166.0,10000,7.46129,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,56.0,3106,2023,1083,,,,,,2800,,,,,,,,,,,
